character,comic_title,format,date,event
Cyclops,Uncanny X-Men (1981) #85,Comic,1973-12-10 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #84,Comic,1973-10-10 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #83,Comic,1973-08-10 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #82,Comic,1973-06-10 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #81,Comic,1973-04-10 00:00:00+00:00,None
Cyclops,Avengers (1963) #110,Comic,1973-04-01 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #80,Comic,1973-02-10 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #79,Comic,1972-12-10 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #78,Comic,1972-10-10 00:00:00+00:00,None
Cyclops,Marvel Team-Up (1972) #4,Comic,1972-09-01 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #77,Comic,1972-08-10 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #76,Comic,1972-06-10 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #75,Comic,1972-04-10 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #74,Comic,1972-02-10 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #73,Comic,1971-12-10 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #72,Comic,1971-10-10 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #71,Comic,1971-08-10 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #70,Comic,1971-06-10 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #69,Comic,1971-04-10 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #68,Comic,1971-02-10 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #67,Comic,1970-12-10 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #59,Comic,1969-08-10 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #58,Comic,1969-07-10 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #45,Comic,1968-06-01 00:00:00+00:00,None
Cyclops,Avengers (1963) #53,Comic,1968-06-01 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #43,Comic,1968-04-01 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #42,Comic,1968-03-01 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #41,Comic,1968-02-01 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #40,Comic,1968-01-01 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #39,Comic,1967-12-01 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #38,Comic,1967-11-01 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #35,Comic,1967-08-01 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #28,Comic,1967-01-01 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #18,Comic,1966-03-01 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #16,Comic,1966-01-01 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #15,Comic,1965-12-01 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #14,Comic,1965-11-01 00:00:00+00:00,None
Cyclops,Fantastic Four Annual (1963) #3,Comic,1965-10-01 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #13,Comic,1965-09-01 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #12,Comic,1965-07-01 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #11,Comic,1965-05-01 00:00:00+00:00,None
Cyclops,Uncanny X-Men (1981) #6,Comic,1964-07-01 00:00:00+00:00,None
Cyclops,Tales to Astonish (1959) #46,Comic,1963-08-01 00:00:00+00:00,None
Cyclops,Marvel Masterworks: Ant-Man/Giant-Man Vol. 1 (Hardcover),Hardcover,,None
Cyclops,X-Men: The Complete Onslaught Epic Vol. 4 (2009),Comic,,Onslaught
Cypher,Immortal X-Men (2022) #13,Comic,2023-07-12 00:00:00+00:00,None
Cypher,X-Men Unlimited Infinity Comic (2021) #59,Digital Vertical Comic,2022-10-31 00:00:00+00:00,None
Cypher,X-Men Unlimited Infinity Comic (2021) #43,Digital Vertical Comic,2022-07-11 00:00:00+00:00,None
Cypher,X-Men Unlimited Infinity Comic (2021) #42,Digital Vertical Comic,2022-07-04 00:00:00+00:00,None
Cypher,X-Men Unlimited Infinity Comic (2021) #39,Digital Vertical Comic,2022-06-13 00:00:00+00:00,None
Cypher,Excalibur (2019) #14,Comic,2020-11-11 00:00:00+00:00,None
Cypher,New Mutants (2019) #13,Comic,2020-10-14 00:00:00+00:00,None
Cypher,Hunt for Wolverine: Weapon Lost (2018) #4,Comic,2018-08-01 00:00:00+00:00,None
Cypher,Hunt for Wolverine: Weapon Lost (2018) #3,Comic,2018-07-04 00:00:00+00:00,None
Cypher,Hunt for Wolverine: Weapon Lost (2018) #2,Comic,2018-06-06 00:00:00+00:00,None
Cypher,Savage Wolverine (2013) #13,Comic,2013-12-31 00:00:00+00:00,None
Cypher,Journey Into Mystery (2011) #638,Comic,2012-05-22 00:00:00+00:00,None
Cypher,Journey Into Mystery (2011) #637,Comic,2012-05-08 00:00:00+00:00,None
Cypher,New Mutants (2009) #33 (Keown Variant),Comic,2011-11-02 00:00:00+00:00,None
Cypher,New Mutants (2009) #33,Comic,2011-11-02 00:00:00+00:00,X-Men: Regenesis
Cypher,New Mutants (2009) #31,Comic,2011-09-28 00:00:00+00:00,Fear Itself
Cypher,New Mutants (2009) #30,Comic,2011-08-24 00:00:00+00:00,None
Cypher,New Mutants (2009) #27,Comic,2011-07-13 00:00:00+00:00,None
Cypher,New Mutants (2009) #25 (X-Man Variant),Comic,2011-05-11 00:00:00+00:00,None
Cypher,New Mutants (2009) #23 (2nd Printing Variant),Comic,2011-05-11 00:00:00+00:00,None
Cypher,New Mutants (2009) #25 (Adams Variant ),Comic,2011-05-11 00:00:00+00:00,None
Cypher,New Mutants (2009) #25,Comic,2011-05-11 00:00:00+00:00,None
Cypher,X-MEN: CURSE OF THE MUTANTS (Hardcover),Hardcover,2011-02-16 00:00:00+00:00,None
Cypher,X-Men (2010) #5,Comic,2010-11-17 00:00:00+00:00,None
Cypher,New Mutants (2009) #10,Comic,2010-02-10 00:00:00+00:00,None
Cypher,New Mutants (2009) #9,Comic,2010-01-06 00:00:00+00:00,None
Cypher,New Mutants (2009) #8,Comic,2009-12-23 00:00:00+00:00,None
Cypher,New Mutants (2009) #7,Comic,2009-11-25 00:00:00+00:00,None
Cypher,New Mutants (2009) #6,Comic,2009-10-28 00:00:00+00:00,None
Cypher,New Mutants (2009) #5,Comic,2009-09-30 00:00:00+00:00,None
Dagger,Blood Hunters (2024) #5,Comic,2024-12-18 00:00:00+00:00,None
Dagger,Blood Hunters (2024) #4,Comic,2024-11-06 00:00:00+00:00,None
Dagger,Blood Hunters (2024) #3,Comic,2024-10-16 00:00:00+00:00,None
Dagger,Blood Hunters (2024) #2,Comic,2024-09-11 00:00:00+00:00,None
Dagger,Blood Hunters (2024) #1,Comic,2024-08-07 00:00:00+00:00,None
Dagger,Blood Hunters (2024) #3,Comic,2024-07-03 00:00:00+00:00,None
Dagger,Blood Hunters (2024) #2,Comic,2024-06-05 00:00:00+00:00,None
Dagger,Blood Hunters (2024) #1,Comic,2024-05-08 00:00:00+00:00,None
Dagger,Luke Cage: Gang War (2023) #4,Comic,2024-02-21 00:00:00+00:00,None
Dagger,Luke Cage: Gang War (2023) #3,Comic,2024-01-10 00:00:00+00:00,None
Dagger,Luke Cage: Gang War (2023) #2,Comic,2023-12-13 00:00:00+00:00,None
Dagger,Uncanny Spider-Man (2023) #4,Comic,2023-11-22 00:00:00+00:00,None
Dagger,Uncanny Spider-Man (2023) #3,Comic,2023-11-08 00:00:00+00:00,None
Dagger,Uncanny Spider-Man (2023) #2,Comic,2023-10-25 00:00:00+00:00,None
Dagger,King in Black: Planet of the Symbiotes (2021) #3,Comic,2021-04-07 00:00:00+00:00,None
Dagger,Absolute Carnage: Lethal Protectors (2019) #3,Comic,2019-10-23 00:00:00+00:00,None
Dagger,CLOAK AND DAGGER: AGONY AND ECSTASY (Trade Paperback),Trade Paperback,2019-06-05 00:00:00+00:00,None
Dagger,CLOAK AND DAGGER: NEGATIVE EXPOSURE MPGN (Trade Paperback),Trade Paperback,2019-03-27 00:00:00+00:00,None
Dagger,Cloak and Dagger: Marvel Digital Original - Negative Exposure (2018) #3,Comic,2019-02-27 00:00:00+00:00,None
Dagger,Cloak and Dagger: Marvel Digital Original - Negative Exposure (2018) #2,Comic,2019-01-23 00:00:00+00:00,None
Dagger,Cloak and Dagger: Marvel Digital Original - Negative Exposure (2018) #1,Comic,2018-12-26 00:00:00+00:00,None
Dagger,Cloak and Dagger: Shades of Grey (Trade Paperback),Trade Paperback,2018-12-12 00:00:00+00:00,None
Dagger,Cloak and Dagger: Marvel Digital Original - Shades of Gray (2018) #3,Comic,2018-11-21 00:00:00+00:00,None
Dagger,Cloak and Dagger (2018) #6,Comic,2018-11-07 00:00:00+00:00,None
Dagger,Marvel Knights by Dixon & Barreto: Defenders of the Streets (Trade Paperback),Trade Paperback,2018-10-17 00:00:00+00:00,None
Dagger,Cloak and Dagger: Marvel Digital Original - Shades of Gray (2018) #2,Comic,2018-09-19 00:00:00+00:00,None
Dagger,Cloak and Dagger (2018) #4,Comic,2018-09-05 00:00:00+00:00,None
Dagger,New Warriors: Darkness & Light (Trade Paperback),Trade Paperback,2018-08-29 00:00:00+00:00,None
Dagger,Cloak and Dagger: Predator and Prey (Trade Paperback),Trade Paperback,2018-08-22 00:00:00+00:00,None
Dagger,Cloak and Dagger (2018) #3,Digital Comic,2018-08-01 00:00:00+00:00,None
Dagger,Cloak and Dagger: Marvel Digital Original - Shades of Gray (2018) #1,Digital Comic,2018-07-18 00:00:00+00:00,None
Dagger,Cloak and Dagger (2018) #2,Digital Comic,2018-07-04 00:00:00+00:00,None
Dagger,Cloak and Dagger (2018) #1,Digital Comic,2018-06-06 00:00:00+00:00,None
Dagger,Runaways by Brian K. Vaughan & Adrian Alphona Omnibus (Hardcover),Hardcover,2018-06-06 00:00:00+00:00,None
Dagger,Cloak and Dagger: Runaways and Reversals (Trade Paperback),Trade Paperback,2018-03-14 00:00:00+00:00,None
Dagger,Amazing Spider-Man: Worldwide Vol. 3 (Trade Paperback),Trade Paperback,2018-02-07 00:00:00+00:00,None
Dagger,Power Pack Classic Vol. 1 (Trade Paperback),Trade Paperback,2017-12-27 00:00:00+00:00,None
Dagger,Runaways Vol. 8: Dead End Kids (Trade Paperback),Trade Paperback,2017-12-20 00:00:00+00:00,None
Dagger,RUNAWAYS VOL. 5: ESCAPE TO NEW YORK [NEW PRINTING] (Trade Paperback),Trade Paperback,2017-07-26 00:00:00+00:00,None
Dagger,Secret Empire (2017) #2,Comic,2017-05-17 00:00:00+00:00,Secret Empire
Dagger,Cloak and Dagger: Lost and Found (Trade Paperback),Trade Paperback,2017-03-08 00:00:00+00:00,None
Dagger,New Mutants Epic Collection: Renewal (Trade Paperback),Trade Paperback,2017-03-08 00:00:00+00:00,None
Dagger,Deadpool and The Secret Defenders (Trade Paperback),Trade Paperback,2017-02-15 00:00:00+00:00,None
Dagger,Runaways Vol. 2: Teenage Wasteland (Trade Paperback),Trade Paperback,2017-02-15 00:00:00+00:00,None
Dagger,Cloak and Dagger: Shadows and Light (Trade Paperback),Trade Paperback,2017-02-08 00:00:00+00:00,None
Dagger,All-New Ultimates (2014) #9,Comic,2014-10-08 00:00:00+00:00,None
Dagger,Cataclysm: Ultimate Spider-Man (2013) #3,Comic,2014-01-08 00:00:00+00:00,None
Dagger,Cataclysm: Ultimate Spider-Man (2013) #2,Comic,2013-12-11 00:00:00+00:00,None
Dagger,Cataclysm: Ultimate Spider-Man (2013) #1,Comic,2013-11-13 00:00:00+00:00,None
Dagger,Ultimate Comics Spider-Man (2011) #24,Comic,2013-06-19 00:00:00+00:00,None
Dagger,Spider-Island: Cloak & Dagger (2011) #3,Comic,2011-10-26 00:00:00+00:00,None
Dagger,Spider-Island: Cloak & Dagger (2011) #2,Comic,2011-09-21 00:00:00+00:00,Spider-Island
Dagger,Amazing Spider-Man (1999) #667,Comic,2011-08-10 00:00:00+00:00,Spider-Island
Dagger,Spider-Island: Cloak & Dagger (2011) #1,Comic,2011-08-10 00:00:00+00:00,Spider-Island
Dagger,Amazing Spider-Man (1999) #666,Comic,2011-07-27 00:00:00+00:00,Spider-Island
Dagger,SPIDER-ISLAND DAILY BUGLE [BUNDLES OF 25] (2011) #1,Comic,2011-07-06 00:00:00+00:00,None
Dagger,Amazing Spider-Man (1999) #663,Comic,2011-06-01 00:00:00+00:00,None
Dagger,RUNAWAYS: TEENAGE WASTELAND (Digest),Digest,2011-04-27 00:00:00+00:00,None
Dagger,POWER PACK CLASSIC (Trade Paperback),Trade Paperback,2011-03-09 00:00:00+00:00,None
Dagger,Cloak and Dagger (2010) #1,Comic,2010-03-31 00:00:00+00:00,None
Dagger,Wolverine Origins (2006) #43,Comic,2009-12-23 00:00:00+00:00,None
Dagger,Uncanny X-Men (1981) #514,Comic,2009-08-12 00:00:00+00:00,Dark Reign
Dagger,Uncanny X-Men (1981) #513,Comic,2009-07-01 00:00:00+00:00,Dark Reign
Dagger,Civil War (2006) #1 (Turner Variant),Comic,2006-05-03 00:00:00+00:00,None
Dagger,Civil War (2006) #1,Comic,2006-05-03 00:00:00+00:00,None
Dagger,Marvel Team-Up (2004) #18,Comic,2006-03-01 00:00:00+00:00,None
Dagger,MARVEL VISIONARIES: ROY THOMAS HC (Hardcover),Hardcover,2006-01-20 00:00:00+00:00,None
Dagger,Marvel Team-Up (2004) #16,Comic,2006-01-04 00:00:00+00:00,None
Dagger,Marvel Team-Up (2004) #15,Comic,2005-12-07 00:00:00+00:00,None
Dagger,Runaways Vol. 2: Teenage Wasteland (Trade Paperback),Trade Paperback,2004-09-15 00:00:00+00:00,None
Dagger,Runaways (2003) #12,Comic,2004-02-18 00:00:00+00:00,None
Dagger,Runaways (2003) #11,Comic,2004-02-04 00:00:00+00:00,None
Dagger,Marvel Knights (2000) #15,Comic,2001-10-10 00:00:00+00:00,None
Dagger,Marvel Knights (2000) #14,Comic,2001-08-22 00:00:00+00:00,None
Dagger,Marvel Knights (2000) #13,Comic,2001-07-25 00:00:00+00:00,None
Dagger,Marvel Knights (2000) #12,Comic,2001-06-27 00:00:00+00:00,None
Dagger,Marvel Knights (2000) #11,Comic,2001-05-02 00:00:00+00:00,None
Dagger,Marvel Knights (2000) #10,Comic,2001-04-01 00:00:00+00:00,None
Dagger,Marvel Knights (2000) #8,Comic,2001-02-01 00:00:00+00:00,None
Dagger,Marvel Knights (2000) #9,Comic,2001-01-31 00:00:00+00:00,None
Dagger,Marvel Knights (2000) #7,Comic,2001-01-01 00:00:00+00:00,None
Dagger,Marvel Knights (2000) #6,Comic,2000-12-01 00:00:00+00:00,Maximum Security
Dagger,Marvel Knights (2000) #5,Comic,2000-11-01 00:00:00+00:00,None
Dagger,Marvel Knights (2000) #4,Comic,2000-10-01 00:00:00+00:00,None
Dagger,Universe X (2000) #1,Comic,2000-10-01 00:00:00+00:00,None
Dagger,Marvel Knights (2000) #3,Comic,2000-09-01 00:00:00+00:00,None
Dagger,Marvel Knights (2000) #2,Comic,2000-08-01 00:00:00+00:00,None
Dagger,Marvel Knights (2000) #1,Comic,2000-07-01 00:00:00+00:00,None
Dagger,Code of Honor (1997) #2,Comic,1997-03-01 00:00:00+00:00,None
Dagger,New Warriors Annual (1991) #3,Comic,1993-01-01 00:00:00+00:00,None
Dagger,The Mutant Misadventures of Cloak and Dagger (1988) #18,Comic,1991-06-01 00:00:00+00:00,None
Dagger,Marvel Fanfare (1982) #54,Comic,1990-12-01 00:00:00+00:00,None
Dagger,The Mutant Misadventures of Cloak and Dagger (1988) #13,Comic,1990-08-01 00:00:00+00:00,None
Dagger,The Mutant Misadventures of Cloak and Dagger (1988) #12,Comic,1990-06-01 00:00:00+00:00,None
Dagger,The Mutant Misadventures of Cloak and Dagger (1988) #11,Comic,1990-04-01 00:00:00+00:00,None
Dagger,The Mutant Misadventures of Cloak and Dagger (1988) #10,Comic,1990-02-01 00:00:00+00:00,None
Dagger,The Mutant Misadventures of Cloak and Dagger (1988) #9,Comic,1989-12-01 00:00:00+00:00,None
Dagger,"Doctor Strange, Sorcerer Supreme (1988) #9",Comic,1989-11-01 00:00:00+00:00,None
Dagger,The Mutant Misadventures of Cloak and Dagger (1988) #8,Comic,1989-11-01 00:00:00+00:00,None
Dagger,The Mutant Misadventures of Cloak and Dagger (1988) #7,Comic,1989-10-01 00:00:00+00:00,None
Dagger,The Mutant Misadventures of Cloak and Dagger (1988) #6,Comic,1989-08-01 00:00:00+00:00,None
Dagger,The Mutant Misadventures of Cloak and Dagger (1988) #5,Comic,1989-06-01 00:00:00+00:00,None
Dagger,The Mutant Misadventures of Cloak and Dagger (1988) #3,Comic,1989-02-01 00:00:00+00:00,None
Dagger,CLOAK AND DAGGER AND POWER PACK: SHELTER FROM THE STORM GRAPHIC NOVEL 1 (1989) #1,Comic,1989-01-01 00:00:00+00:00,None
Dagger,The Mutant Misadventures of Cloak and Dagger (1988) #2,Comic,1988-12-01 00:00:00+00:00,None
Dagger,"Doctor Strange, Sorcerer Supreme (1988) #1",Comic,1988-11-01 00:00:00+00:00,None
Dagger,The Mutant Misadventures of Cloak and Dagger (1988) #1,Comic,1988-10-01 00:00:00+00:00,None
Dagger,Cloak and Dagger: Predator and Prey (1988),Comic,1988-02-23 00:00:00+00:00,None
Dagger,Cloak and Dagger (1985) #11,Comic,1987-03-01 00:00:00+00:00,None
Dagger,Cloak and Dagger (1985) #10,Comic,1987-01-01 00:00:00+00:00,None
Dagger,Cloak and Dagger (1985) #9,Comic,1986-11-01 00:00:00+00:00,None
Dagger,Cloak and Dagger (1985) #8,Comic,1986-09-01 00:00:00+00:00,None
Dagger,Cloak and Dagger (1985) #7,Comic,1986-07-01 00:00:00+00:00,None
Dagger,Cloak and Dagger (1985) #6,Comic,1986-05-01 00:00:00+00:00,None
Dagger,Cloak and Dagger (1985) #5,Comic,1986-03-01 00:00:00+00:00,None
Dagger,Cloak and Dagger (1985) #4,Comic,1986-01-01 00:00:00+00:00,Secret Wars II
Dagger,Cloak and Dagger (1985) #3,Comic,1985-11-01 00:00:00+00:00,None
Dagger,Cloak and Dagger (1985) #2,Comic,1985-09-01 00:00:00+00:00,None
Dagger,Cloak and Dagger (1985) #1,Comic,1985-07-01 00:00:00+00:00,None
Dagger,Marvel Age (1983) #25,Comic,1985-04-01 00:00:00+00:00,None
Dagger,Marvel Fanfare (1982) #19,Comic,1985-03-01 00:00:00+00:00,None
Dagger,Power Pack (1984) #8,Comic,1985-03-01 00:00:00+00:00,None
Dagger,Power Pack (1984) #7,Comic,1985-02-01 00:00:00+00:00,None
Dagger,"Peter Parker, the Spectacular Spider-Man (1976) #96",Comic,1984-11-01 00:00:00+00:00,None
Dagger,"Peter Parker, the Spectacular Spider-Man (1976) #95",Comic,1984-10-01 00:00:00+00:00,None
Dagger,"Peter Parker, the Spectacular Spider-Man (1976) #94",Comic,1984-09-01 00:00:00+00:00,None
Dagger,Cloak and Dagger (1983) #4,Comic,1984-01-01 00:00:00+00:00,Inferno
Dagger,Cloak and Dagger (1983) #3,Comic,1983-12-01 00:00:00+00:00,None
Dagger,Cloak and Dagger (1983) #2,Comic,1983-11-01 00:00:00+00:00,None
Dagger,Cloak and Dagger (1983) #1,Comic,1983-10-01 00:00:00+00:00,None
Dagger,"Peter Parker, the Spectacular Spider-Man (1976) #82",Comic,1983-09-01 00:00:00+00:00,None
Dagger,"Peter Parker, the Spectacular Spider-Man (1976) #81",Comic,1983-08-01 00:00:00+00:00,None
Dagger,Marvel Team-Up Annual (1976) #6,Comic,1983-01-01 00:00:00+00:00,None
Dagger,"Peter Parker, the Spectacular Spider-Man (1976) #70",Comic,1982-09-01 00:00:00+00:00,None
Dagger,"Peter Parker, the Spectacular Spider-Man (1976) #69",Comic,1982-08-01 00:00:00+00:00,None
Dagger,"Peter Parker, the Spectacular Spider-Man (1976) #64",Comic,1982-03-01 00:00:00+00:00,None
Daken,Hellverine (2024) #3,Comic,2025-02-26 00:00:00+00:00,None
Daken,Hellverine (2024) #2,Comic,2025-01-22 00:00:00+00:00,None
Daken,Wolverine (2020) #41,Comic,2024-01-10 00:00:00+00:00,None
Daken,Alpha Flight (2023) #5,Comic,2023-12-06 00:00:00+00:00,None
Daken,Alpha Flight (2023) #4,Comic,2023-11-15 00:00:00+00:00,None
Daken,Alpha Flight (2023) #3,Comic,2023-10-25 00:00:00+00:00,None
Daken,Alpha Flight (2023) #2,Comic,2023-09-20 00:00:00+00:00,None
Daken,Alpha Flight (2023) #1,Comic,2023-08-16 00:00:00+00:00,None
Daken,Marauders (2022) #11,Comic,2023-02-15 00:00:00+00:00,None
Daken,Marvel's Voices Infinity Comic (2022) #32,Digital Vertical Comic,2023-01-04 00:00:00+00:00,None
Daken,Marvel's Voices Infinity Comic (2022) #31,Digital Vertical Comic,2022-12-28 00:00:00+00:00,None
Daken,Marvel's Voices Infinity Comic (2022) #30,Digital Vertical Comic,2022-12-21 00:00:00+00:00,None
Daken,Marvel's Voices Infinity Comic (2022) #29,Digital Vertical Comic,2022-12-14 00:00:00+00:00,None
Daken,Marauders (2022) #9,Comic,2022-12-07 00:00:00+00:00,None
Daken,Marvel's Voices Infinity Comic (2022) #28,Digital Vertical Comic,2022-12-07 00:00:00+00:00,None
Daken,Marvel's Voices Infinity Comic (2022) #27,Digital Vertical Comic,2022-11-30 00:00:00+00:00,None
Daken,Marauders (2022) #8,Comic,2022-11-09 00:00:00+00:00,None
Daken,Marauders (2022) #7,Comic,2022-10-05 00:00:00+00:00,None
Daken,New Mutants (2019) #29,Comic,2022-09-07 00:00:00+00:00,None
Daken,Marauders (2022) #4,Comic,2022-07-13 00:00:00+00:00,None
Daken,Marvel's Voices: Pride (Trade Paperback),Trade Paperback,2022-06-22 00:00:00+00:00,None
Daken,Marauders (2022) #3,Comic,2022-06-08 00:00:00+00:00,None
Daken,Marauders (2022) #2,Comic,2022-05-04 00:00:00+00:00,None
Daken,Marauders (2022) #1,Comic,2022-04-06 00:00:00+00:00,None
Daken,X Deaths of Wolverine (2022) #5,Comic,2022-03-23 00:00:00+00:00,None
Daken,X Deaths of Wolverine (2022) #4,Comic,2022-03-09 00:00:00+00:00,None
Daken,X Deaths of Wolverine (2022) #3,Comic,2022-02-23 00:00:00+00:00,None
Daken,Marauders Annual (2022) #1,Comic,2022-01-26 00:00:00+00:00,None
Daken,X-Factor (2020) #10,Comic,2021-06-30 00:00:00+00:00,None
Daken,Marvel's Voices: Pride (2021) #1,Comic,2021-06-23 00:00:00+00:00,None
Daken,X-Factor (2020) #9,Comic,2021-05-12 00:00:00+00:00,None
Daken,X-Factor (2020) #8,Comic,2021-03-10 00:00:00+00:00,None
Daken,X-Factor (2020) #7,Comic,2021-02-03 00:00:00+00:00,None
Daken,X-Factor (2020) #2,Comic,2020-08-26 00:00:00+00:00,None
Daken,X-Factor (2020) #1,Comic,2020-07-29 00:00:00+00:00,None
Daken,Hunt for Wolverine: Claws of a Killer (2018) #4,Comic,2018-08-15 00:00:00+00:00,None
Daken,Hunt for Wolverine: Claws of a Killer (2018) #3,Comic,2018-07-18 00:00:00+00:00,None
Daken,X-Men: Blue (2017) #30,Comic,2018-06-27 00:00:00+00:00,None
Daken,Hunt for Wolverine: Claws of a Killer (2018) #2,Comic,2018-06-20 00:00:00+00:00,None
Daken,X-Men: Blue (2017) #28,Comic,2018-05-30 00:00:00+00:00,None
Daken,WOLVERINE BY DANIEL WAY: THE COMPLETE COLLECTION VOL. 4 (Trade Paperback),Trade Paperback,2018-05-23 00:00:00+00:00,None
Daken,Hunt for Wolverine: Claws of a Killer (2018) #1,Comic,2018-05-16 00:00:00+00:00,None
Daken,X-Men: Blue (2017) #27,Comic,2018-05-09 00:00:00+00:00,None
Daken,X-Men: Blue (2017) #26,Comic,2018-04-25 00:00:00+00:00,None
Daken,X-Men: Blue (2017) #25,Comic,2018-04-11 00:00:00+00:00,None
Daken,All-New Wolverine Vol. 5: Orphans of X (Trade Paperback),Trade Paperback,2018-02-21 00:00:00+00:00,None
Daken,All-New Wolverine (2015) #30,Comic,2018-01-31 00:00:00+00:00,None
Daken,All-New Wolverine (2015) #29,Comic,2018-01-17 00:00:00+00:00,None
Daken,Iceman (2017) #9,Comic,2018-01-03 00:00:00+00:00,None
Daken,Iceman Vol. 1: Thawing Out (Trade Paperback),Trade Paperback,2017-12-27 00:00:00+00:00,None
Daken,WOLVERINE BY DANIEL WAY: THE COMPLETE COLLECTION VOL. 3 (Trade Paperback),Trade Paperback,2017-12-20 00:00:00+00:00,None
Daken,All-New Wolverine (2015) #28,Comic,2017-12-13 00:00:00+00:00,None
Daken,All-New Wolverine (2015) #27,Comic,2017-11-22 00:00:00+00:00,None
Daken,All-New Wolverine (2015) #26,Comic,2017-10-25 00:00:00+00:00,None
Daken,All-New Wolverine (2015) #25,Comic,2017-10-11 00:00:00+00:00,None
Daken,Iceman (2017) #4,Comic,2017-08-23 00:00:00+00:00,None
Daken,DAKEN: DARK WOLVERINE - PUNISHMENT (Trade Paperback),Trade Paperback,2017-07-12 00:00:00+00:00,None
Daken,Wolverines (2015) #20,Comic,2015-06-03 00:00:00+00:00,None
Daken,Wolverines (2015) #19,Comic,2015-05-20 00:00:00+00:00,None
Daken,Wolverines (2015) #18,Comic,2015-05-13 00:00:00+00:00,None
Daken,Wolverines (2015) #17,Comic,2015-05-06 00:00:00+00:00,None
Daken,Wolverines (2015) #16,Comic,2015-04-29 00:00:00+00:00,None
Daken,Wolverines (2015) #15,Comic,2015-04-22 00:00:00+00:00,None
Daken,Wolverines (2015) #14,Comic,2015-04-15 00:00:00+00:00,None
Daken,Wolverines (2015) #12,Comic,2015-03-25 00:00:00+00:00,None
Daken,Wolverines (2015) #11,Comic,2015-03-18 00:00:00+00:00,None
Daken,Wolverines (2015) #10,Comic,2015-03-11 00:00:00+00:00,None
Daken,Wolverines (2015) #9,Comic,2015-03-04 00:00:00+00:00,None
Daken,Wolverines (2015) #8,Comic,2015-02-25 00:00:00+00:00,None
Daken,Wolverines (2015) #7,Comic,2015-02-18 00:00:00+00:00,None
Daken,Wolverines (2015) #6,Comic,2015-02-11 00:00:00+00:00,None
Daken,Wolverines (2015) #5,Comic,2015-02-04 00:00:00+00:00,None
Daken,Wolverines (2015) #4,Comic,2015-01-28 00:00:00+00:00,None
Daken,Wolverines (2015) #2,Comic,2015-01-14 00:00:00+00:00,None
Daken,Wolverines (2015) #1,Comic,2015-01-07 00:00:00+00:00,None
Daken,Death of Wolverine: The Logan Legacy (2014) #7,Comic,2014-12-24 00:00:00+00:00,None
Daken,Death of Wolverine: The Logan Legacy (2014) #5,Comic,2014-11-26 00:00:00+00:00,None
Daken,Death of Wolverine: The Logan Legacy (2014) #1,Comic,2014-10-15 00:00:00+00:00,None
Daken,Uncanny X-Force (2010) #30,Comic,2012-08-29 00:00:00+00:00,None
Daken,Uncanny X-Force (2010) #28,Comic,2012-07-25 00:00:00+00:00,None
Daken,Uncanny X-Force (2010) #27,Comic,2012-07-11 00:00:00+00:00,None
Daken,Daken: Dark Wolverine (2010) #23,Comic,2012-03-28 00:00:00+00:00,None
Daken,Daken: Dark Wolverine (2010) #22,Comic,2012-03-14 00:00:00+00:00,None
Daken,Deadpool (2008) #50,Comic,2012-02-08 00:00:00+00:00,None
