character,comic_title,format,date,event
Absorbing Man,Wolverine (1988) #164,Comic,2001-07-01 00:00:00+00:00,None
Absorbing Man,Universe X (2000) #4,Comic,2001-01-01 00:00:00+00:00,None
Absorbing Man,Thor (1998) #27,Comic,2000-09-01 00:00:00+00:00,None
Absorbing Man,Deadpool (1997) #43,Comic,2000-08-01 00:00:00+00:00,None
Absorbing Man,Thor (1998) #26,Comic,2000-08-01 00:00:00+00:00,None
Absorbing Man,Thor (1998) #25,Comic,2000-07-01 00:00:00+00:00,None
Absorbing Man,Captain America (1998) #24,Comic,1999-12-01 00:00:00+00:00,None
Absorbing Man,THOR VISIONARIES: WALTER SIMONSON (Trade Paperback),Trade Paperback,1999-11-30 00:00:00+00:00,None
Absorbing Man,Fantastic Four (1998) #22,Comic,1999-10-01 00:00:00+00:00,None
Absorbing Man,Thor (1998) #14,Comic,1999-08-01 00:00:00+00:00,None
Absorbing Man,Heroes for Hire (1997) #17,Comic,1998-11-01 00:00:00+00:00,None
Absorbing Man,Marvel Valentine Special (1997) #1,Comic,1997-01-01 00:00:00+00:00,None
Absorbing Man,Thor (1966) #490,Comic,1995-09-10 00:00:00+00:00,None
Absorbing Man,Marvel Super Heroes (1990) #14,Comic,1993-07-01 00:00:00+00:00,None
Absorbing Man,Thor (1966) #436,Comic,1991-09-01 00:00:00+00:00,None
Absorbing Man,Avengers Annual (1967) #20,Comic,1991-01-01 00:00:00+00:00,None
Absorbing Man,Quasar (1989) #5,Comic,1989-12-01 00:00:00+00:00,Acts of Vengeance!
Absorbing Man,Fantastic Four (1961) #330,Comic,1989-09-01 00:00:00+00:00,None
Absorbing Man,Incredible Hulk (1962) #348,Comic,1988-10-01 00:00:00+00:00,None
Absorbing Man,Incredible Hulk (1962) #347,Comic,1988-09-01 00:00:00+00:00,None
Absorbing Man,Thor (1966) #376,Comic,1987-02-01 00:00:00+00:00,None
Absorbing Man,Thor (1966) #375,Comic,1987-01-01 00:00:00+00:00,None
Absorbing Man,The Amazing Spider-Man (1963) #283,Comic,1986-12-01 00:00:00+00:00,None
Absorbing Man,Avengers (1963) #270,Comic,1986-08-01 00:00:00+00:00,None
Absorbing Man,Secret Wars (1984) #7,Comic,1984-11-10 00:00:00+00:00,Secret Wars
Absorbing Man,Secret Wars (1984) #6,Comic,1984-10-10 00:00:00+00:00,Secret Wars
Absorbing Man,Secret Wars (1984) #1,Comic,1984-05-10 00:00:00+00:00,Secret Wars
Absorbing Man,Dazzler (1981) #19,Comic,1982-09-01 00:00:00+00:00,None
Absorbing Man,Dazzler (1981) #18,Comic,1982-08-01 00:00:00+00:00,None
Absorbing Man,Incredible Hulk (1962) #261,Comic,1981-07-01 00:00:00+00:00,None
Absorbing Man,Avengers (1963) #184,Comic,1979-06-01 00:00:00+00:00,None
Absorbing Man,Avengers (1963) #183,Comic,1979-05-01 00:00:00+00:00,None
Absorbing Man,Thor (1966) #207,Comic,1973-01-01 00:00:00+00:00,None
Absorbing Man,Thor (1966) #206,Comic,1972-12-01 00:00:00+00:00,None
Absorbing Man,Incredible Hulk (1962) #125,Comic,1970-03-01 00:00:00+00:00,None
Absorbing Man,Journey Into Mystery (1952) #123,Comic,1965-12-01 00:00:00+00:00,None
Absorbing Man,Journey Into Mystery (1952) #122,Comic,1965-11-01 00:00:00+00:00,None
Absorbing Man,Journey Into Mystery (1952) #121,Comic,1965-10-01 00:00:00+00:00,None
Absorbing Man,Journey Into Mystery (1952) #120,Comic,1965-09-01 00:00:00+00:00,None
Absorbing Man,Journey Into Mystery (1952) #115,Comic,1965-04-01 00:00:00+00:00,None
Absorbing Man,Journey Into Mystery (1952) #114,Comic,1965-03-01 00:00:00+00:00,None
Absorbing Man,Marvel Masterworks: The Mighty Thor Vol. 3 (Hardcover),Hardcover,,None
Adam Warlock,Warlock: Rebirth (Trade Paperback),Trade Paperback,2023-11-08 00:00:00+00:00,None
Adam Warlock,Silver Surfer Rebirth: Legacy (2023) #2,Comic,2023-10-11 00:00:00+00:00,None
Adam Warlock,Warlock: Rebirth (2023) #5,Comic,2023-08-02 00:00:00+00:00,None
Adam Warlock,Warlock: Rebirth (2023) #4,Comic,2023-07-12 00:00:00+00:00,None
Adam Warlock,Warlock: Rebirth (2023) #3,Comic,2023-06-28 00:00:00+00:00,None
Adam Warlock,Warlock: Rebirth (2023) #2,Comic,2023-05-24 00:00:00+00:00,None
Adam Warlock,Who Is...? Adam Warlock Infinity Comic (2023) #1,Digital Vertical Comic,2023-05-05 00:00:00+00:00,None
Adam Warlock,Adam Warlock: Strange Tales Facsimile Edition (2023) #178,Comic,2023-04-26 00:00:00+00:00,None
Adam Warlock,Guardians of the Galaxy: Somebody's Got to Do It Infinity Comic (2023) #8,Digital Vertical Comic,2023-04-21 00:00:00+00:00,None
Adam Warlock,Guardians of the Galaxy: Somebody's Got to Do It Infinity Comic (2023) #7,Digital Vertical Comic,2023-04-21 00:00:00+00:00,None
Adam Warlock,Guardians of the Galaxy: Somebody's Got to Do It Infinity Comic (2023) #4,Digital Vertical Comic,2023-04-21 00:00:00+00:00,None
Adam Warlock,Warlock: Rebirth (2023) #1,Comic,2023-04-19 00:00:00+00:00,None
Adam Warlock,Adam Warlock Omnibus (Trade Paperback),Trade Paperback,2023-04-05 00:00:00+00:00,None
Adam Warlock,Guardians Of The Galaxy Vol. 2: Faithless (Trade Paperback),Trade Paperback,2020-02-19 00:00:00+00:00,None
Adam Warlock,Infinity Wars By Gerry Duggan: The Complete Collection (Trade Paperback),Trade Paperback,2019-09-18 00:00:00+00:00,None
Adam Warlock,GUARDIANS OF THE GALAXY ANNUAL 1 (2019) #1,Comic,2019-06-05 00:00:00+00:00,None
