standardized_name
Abigail Brand
Absorbing Man
Adam Warlock
Alicia Masters
Amadeus Cho
Anole
Ant-Man
Apocalypse
Ares
Armor
Aurora
Avalanche
Balder
Bastion
Beast
Beetle
Ben Urich
Betty Brant
Betty Ross
Black Bolt
Black Cat
Black Knight
Blade
Blindfold
Bling!
Blink
Box
Bullseye
Caliban
Callisto
Captain America
Captain Marvel
Cassie Lang
Cecilia Reyes
Cerebella
Chamber
Cloak
Corsair
Crystal
Cyclops
Cypher
Dagger
Daken
Danger
Dark Beast
Deathlok
Destiny
Doc Samson
Donald Pierce
Doop
Dr. Kavita Rao
Dr. Nemesis
Dracula
Drax The Destroyer
Dum Dum Dugan
Dust
Electro
Elektra
Elixir
Enchantress
Exodus
Fandral
Fantomex
Firestar
Foggy Nelson
Frenzy
Gabriel Jones
Gamora
Genesis
Ghost Rider
Gladiator
Glob Herman
Gorgon
Groot
Guardian
Gwen Stacy
Harry Osborn
Heimdall
Hela
Hellcat
Hellion
Henry Gyrich
Hepzibah
Hogun
Hope Summers
Husk
Hyperion
Iron Man
Jane Foster
Jessica Jones
Jim Hammond
Justice
Ka-Zar
Kamala Khan
Kang
Karma
Karnak
Kate Bishop
Kid Colt
Kraven The Hunter
Lady Deathstrike
Leech
Legion
Lilandra
Liz Allan
Lizard
Lockheed
Lockjaw
Longshot
Luke Cage
M.o.d.o.k.
Madelyne Pryor
Magma
Man-Thing
Mandarin
Maria Hill
Mariko Yashida
Marrow
Mastermind
Match
Medusa
Meggan
Mephisto
Mercury
Miles Morales
Mimic
Misty Knight
Mockingbird
Mole Man
Monica Rambeau
Moon Knight
Moondragon
Moonstone
Morph
Mr. Sinister
Mysterio
Namorita
Nighthawk
Odin
Pepper Potts
Pete Wisdom
Prodigy
Puck
Pyro
Quasar
Quentin Quire
Red Skull
Rhino
Rick Jones
Rictor
Rocket Raccoon
Sage
Sandman
Sasquatch
Sauron
Scalphunter
Scarlet Spider
Scorpion
Sebastian Shaw
Sentry
Shadow King
Shaman
Shang-Chi
Sharon Carter
Shatterstar
Sif
Siryn
Skids
Skin
Songbird
Speedball
Spider-Man
Spiral
Star-Lord
Storm
Sunfire
Surge
Synch
Taskmaster
Temper
Thanos
Thor
Thunderbird
Tigra
Toro
Trish Tilby
Triton
U.s.agent
Ultron
Uncle Ben
Valeria Richards
Valerie Cooper
Valkyrie
Vindicator
Viper
Volstagg
Vulture
Warlock
Watcher
White Tiger
Wiccan
Wild Child
Wizard
Wolverine
Wong
Wrecker
X-Man
Zabu
Zero-G
